id,text,Anger,Fear,Joy,Sadness,Surprise
eng_train_track_b_00089,It was as if everything was silent for just a second.,0,1,0,0,1
eng_train_track_b_00090,"I filled it out and tried to stay calm, but my legs were still shaking!",0,2,0,0,0
eng_train_track_b_00091,""" The man told her that he had and she said, ""Well, I might as well tell you the story.",0,0,0,0,1
eng_train_track_b_00092,"First, some background: i am a male, i live in Latvia, my father is a hunter and we occasionally go hunting during the weekends.",0,0,0,0,0
eng_train_track_b_00093,"Needless to say, I turned her down.",0,0,0,0,0
eng_train_track_b_00094,"After dragging myself through all of those sets, my stomach being upset, and my body feeling entirely fatigued $ the LAST thing I wanted to do was hop on the treadmill for some incline walking.",0,2,0,1,0
eng_train_track_b_00095,"The first five minutes I could feel my heart pounding in my chest, as our Q&A went on I got more relaxed.",0,1,1,0,0
eng_train_track_b_00096,And these were brutal wounds.,1,2,0,2,1
eng_train_track_b_00097,"Slowly sliding down towards the floor, not having the strength to stay up on my feet any longer, hearing the words `` It's time '' and thinking please no.",0,3,0,2,0
eng_train_track_b_00098,My eyes welled up with tears and my voice cracked.,0,1,0,2,0
eng_train_track_b_00099,"However, I made sure to take a few swishes of water just so my mouth felt like it got a lot of moisture.",0,0,1,0,0
eng_train_track_b_00100,"Thankfully, he doesn't really hold grudges, so I think every day starts with a clean slate... Of course, like a normal human being, he has his limit, which I am trying REALLY REALLY hard to avoid reaching.Also, my throat is dry and hurting because I slept with my mouth wide open last night, and the two times I napped at the boy's house, I slept with it open, again.",0,1,0,0,0
eng_train_track_b_00101,""" ""look... out your window.",0,0,0,0,1
eng_train_track_b_00102,The silence cupped my ears where it was all I could see and hear.,0,1,0,1,0
eng_train_track_b_00103,"i'm happy that someone was there, but then again, there still is that part of me, driven deep down and rooted in the ground that keeps on whispering in my ear, `` in the end, all you got is you, remember that. ''",0,1,1,1,0
eng_train_track_b_00104,"So not an objection at the ceremony, but my wife's parents and brother didn't come to the ceremony at all out of objection to us getting hitched.",2,1,0,2,1
eng_train_track_b_00105,The stench hit me first.,0,2,0,0,1
eng_train_track_b_00106,It was the dance of my heart.,0,0,2,0,0
eng_train_track_b_00107,He gave me my love of science and education.,0,0,2,0,0
eng_train_track_b_00108,I thought it was a joke.,0,1,0,0,2
eng_train_track_b_00109,"I feel like my stomach's had a growth spurt, which leaves me aching and sore.",0,2,0,1,0
eng_train_track_b_00110,I got a little burn on my finger and it ticked me off.,1,1,0,1,0
eng_train_track_b_00111,I'm confused about it but keep pressing.,0,2,0,0,1
eng_train_track_b_00112,"The second time I saw her, she told me she was a registered sex offender.",1,2,0,1,2
eng_train_track_b_00113,"She was rude to our photographer, she was rude to a few guests, and to us.",3,0,0,0,0
eng_train_track_b_00114,"an hour after i got here my eyes swelled up and are so itchy, my athsma is ridiculous ( in vic i do nt even take medications!",0,2,0,1,0
eng_train_track_b_00115,"as usual, i feel like im carrying too much burdens in my heart.",0,1,0,2,0
eng_train_track_b_00116,"i hate the idea of not making progress, it breaks my heart to see time being wasted away, standing still-i hate the idea that i can not see the world.",1,1,0,3,0
eng_train_track_b_00117,But I spent two days reading and still didn't hit the end of this thread.,1,1,0,0,1
eng_train_track_b_00118,"But I was feeling really nervous, and my hands were sweaty.",0,3,0,0,0
eng_train_track_b_00119,and throw my hands in the air.,0,0,1,0,0
eng_train_track_b_00120,Then the cop shows up.,0,2,0,0,2
eng_train_track_b_00121,"Teetering for a moment, I caught myself from falling only to fling myself to my knees in the dirt.",0,2,0,0,0
eng_train_track_b_00122,"I fumbled my way toward the light, and my fingers closed around the doorknob.",0,2,0,0,0
eng_train_track_b_00123,"I did as much time as I could on my feet for closing gate, but had to sit for stretch before cannon.",0,1,0,0,0
eng_train_track_b_00124,"The weather up there are super cozy, I went to wash my hand, the water are freezing!!!",0,1,0,0,0
eng_train_track_b_00125,"But the emotional constrictor that had wrapped itself around my ribs and stomach seems to have gone, and it's not a strain to smile.",0,0,1,0,0
eng_train_track_b_00126,"Nothing like the city to remind you that you are among humans and animals.ProActive Acne Shit Review: So, after only a week of using ProActive, I started to notice the difference in my skin.",0,0,1,0,0
eng_train_track_b_00127,She certainly has the right name... View at the glaciers in the distance.Me being silly... So I had a good morning before going to work and feeling the world-at least the hotel world-crumbling at my feet...,0,2,0,1,0
eng_train_track_b_00128,My heart beat so fast when the beautiful man give Yunho a peck on his left cheek.,0,1,1,0,0
eng_train_track_b_00129,The nightmares and fear were new and inexplicable.,0,3,0,1,1
eng_train_track_b_00130,I could feel my heart breaking into millions of pieces.,0,0,0,3,0
eng_train_track_b_00131,"The kissing and touching don't stop, they just get more... interesting.",0,0,2,0,1
eng_train_track_b_00132,"I was trying to concentrate on not falling, but I totally slipped and almost fell on my face.",0,2,0,0,1
eng_train_track_b_00133,"im not ashamed to say sometimes i have more fun clipping my nails, pumicing my feet, moisturizing my body and watching the Wedding Planner on TBS with a mask on my face while conditioning my hands and feet with special lotion and gloves & booties on.",0,0,2,0,0
eng_train_track_b_00134,We are earths last hope against extinction.,0,2,0,1,1
eng_train_track_b_00135,Went to a party at a friends house.,0,0,2,0,0
eng_train_track_b_00136,"Jimmy gently poured some into my mouth, dipping my head back and asking me to swallow.",0,0,0,0,0
eng_train_track_b_00137,Fast forward six months - I've moved to central Virginia for work.,0,0,1,0,0
eng_train_track_b_00138,( HUGE grin on my face now. ),0,0,1,0,0
eng_train_track_b_00139,"pops been moved out of icu now and he's going well, but now i've sprained my wrist... stupid hockey!",1,1,0,1,0
eng_train_track_b_00140,"I told them I felt a bit sick so they hurriedly put a sickbowl on my chest, then 10 seconds later I spewed up but a lot of it when all down my new white tshirt.",0,2,0,2,1
eng_train_track_b_00141,"Eventually the fridge was back in place and I had even managed to score a minor victory against my fear of fire extinguishers as I successfully moved it across the room ( the fear comes from one fell on my foot, long story! )",0,1,0,0,0
eng_train_track_b_00142,My jaw nearly dropped.,0,0,0,0,3
eng_train_track_b_00143,"After i wash my face and brush my teeth, i go out from the kitchen and found that, someone sleep on my place, using my blanket and also pillow.",0,1,0,0,1
eng_train_track_b_00144,Not creepy but ghostly.,0,2,0,0,1
eng_train_track_b_00145,"What came out of my mouth was: ""Because white reigns supreme.",1,2,0,1,2
eng_train_track_b_00146,"Don't walk away, I'm talking to you, there's bruises on my face.",2,1,0,1,0
eng_train_track_b_00147,as i go to take the hook out of my 4th fish... it shakes and embeds the hook in my hand.,1,2,0,1,1
eng_train_track_b_00148,I saw peppermint patties.,0,0,1,0,1
eng_train_track_b_00149,It better not be for my parenting.,1,1,0,0,0
eng_train_track_b_00150,Can I add a bridesmaid-zilla story?,0,0,1,0,1
eng_train_track_b_00151,We ended up keeping the old house and renting it out though.,0,0,1,0,0
eng_train_track_b_00152,"Most mornings I drift in and out, slowly shaking off the fuddle of sleep but yesterday I was right there with my eyes wide open and the clock saying eight.",0,0,1,0,0
eng_train_track_b_00153,`` My God $ '' `` What's wrong with my arm? '',0,2,0,0,1
eng_train_track_b_00154,Could be wrong though.,0,1,0,0,0
eng_train_track_b_00155,"Every movement of the body below my waist caused pain, in such a way that I could anticipate it and, with a bit of understanding, even cope.",0,2,0,1,0
eng_train_track_b_00156,First day of school.,0,1,1,0,0
eng_train_track_b_00157,"She opened the door of the moving vehicle, jumped out, and landed on her feet.",0,2,1,0,2
eng_train_track_b_00158,My mouth by then like cardboard.,0,0,0,0,0
eng_train_track_b_00159,I was scared shitless.,0,3,0,0,1
eng_train_track_b_00160,Not a single soul.,0,1,0,2,1
eng_train_track_b_00161,"As the blood seems to return to my head, I can think clearly and muster the energy to keep going.",0,1,1,0,0
eng_train_track_b_00162,"I fell out of a tree earlier today, and landed on my head after about an eight foot drop onto concrete.",0,2,0,2,1
eng_train_track_b_00163,"But well need large plastic bags, I dont know where to get those.",0,1,0,0,0
eng_train_track_b_00164,I wish I had.,0,0,0,2,0
eng_train_track_b_00165,"the next thing i knew, i felt this huge impact on my head, and then a few more after that.",0,2,0,0,1
eng_train_track_b_00166,"I turn around, hoping my back hid part of my drawing and look down at the paper in front of Ryutaro, my hand only inches away from his and start to explain the directions a little clearer to him.",0,0,0,0,0
eng_train_track_b_00167,she was very wrong.,1,0,0,0,0
eng_train_track_b_00168,They seemed quit some distance away from me.,0,1,0,0,0
eng_train_track_b_00169,My back is jacked up again.,1,1,0,1,0
eng_train_track_b_00170,"Of course, I could have soaked my hand in a bucket for a couple of hours, but that's not the case here.",0,0,0,0,0
eng_train_track_b_00171,As he approached the edge of it he took to prep hops.,0,1,0,0,1
eng_train_track_b_00172,"In silence, I prayed and searched my heart....",0,1,0,1,0
eng_train_track_b_00173,I couldnt walk without tripping over her.,1,1,0,0,0
eng_train_track_b_00174,You know the ones?,0,0,0,0,1
eng_train_track_b_00175,"I could hardly believe that after all this time, after so many seasons spent reaping despair, he was finally here, in my arms.",0,0,2,0,0
eng_train_track_b_00176,"We could have been part of organized crime, but my grandpa (who died before I was born) didn't want any part of it and decided to live an honest life.",0,0,1,1,1
eng_train_track_b_00177,They hooked me up to an IV to give me some medicine ( not sure what kind ) and gave me a shot of adrenaline to try to get the swelling in my throat down.,0,2,0,0,0
eng_train_track_b_00178,I remembered back to last week when my neck was really hurting.,0,1,0,2,0
eng_train_track_b_00179,"The form itself did not shed any light, but was light.",0,0,0,0,1
eng_train_track_b_00180,"It was just a knick, but and the blood $ The rain was cold, but my tears were hot against my cheeks.",0,1,0,3,0
eng_train_track_b_00181,"It looked like there was a golfball on the side of my knee... a purple, blueish golfball.",0,1,0,2,0
eng_train_track_b_00182,"This is typical, as they need to justify their existence.",1,0,0,0,0
eng_train_track_b_00183,Seemingly because the bartenders were very heavy handed.,1,0,0,0,0
eng_train_track_b_00184,& # x 26; nbsp; I folded my arms on the table and rested my head on my hands-but in a few moments there was a lot of tension in my jaw from this positon.,0,1,0,0,0
eng_train_track_b_00185,My pride hurt worse than my leg did.,1,0,0,1,0
eng_train_track_b_00186,On Sunday I tucked the new license plates under my arm and headed out to the garage to find the duck tool.,0,0,0,0,0
eng_train_track_b_00187,Blotted out the moon.,0,2,0,0,2
eng_train_track_b_00188,My hand hurt so bad afterwards.,0,1,0,0,0
eng_train_track_b_00189,I had just had a procedure done to implant an Intrathecal Baclofen Pump in my belly.,0,2,0,0,0
eng_train_track_b_00190,"Last I heard, that other guy was homeless and dead.",0,1,0,3,1
eng_train_track_b_00191,With sudden resolution I took my hands from the rail.,0,0,0,0,0
eng_train_track_b_00192,"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,2,0
eng_train_track_b_00193,I felt a slight heat creep over my cheeks and I giggled lightly coming back to the thought that he was all mine.,0,0,2,0,0
eng_train_track_b_00194,"Let me put it this way: I burned so much as a kid that my nose is permanently red.I look back on all of this skin damage, and wish I could go back to my old self and do some kind of scared straight intervention.",0,0,0,2,0
eng_train_track_b_00195,"After the deception, but before the divorce.",1,1,0,2,0
eng_train_track_b_00196,It just... went away.,0,1,0,1,1
eng_train_track_b_00197,"It was REALLY nice to feel the sun on my face because the winter blues really are real-for me at least: ) It was Brent's birthday while we were there, and my awesome family throw him a little birthday party ( I was so glad that I didn't have to do a thing )!",0,0,3,0,0
eng_train_track_b_00198,"Stuck in this place, With the world rushing by, Tears stream down my face, As I stand here, waiting to die.",0,3,0,3,0
eng_train_track_b_00199,the cold outside feels so good on my skin.,0,0,1,0,0
eng_train_track_b_00200,Several times in the last couple weeks I've had to scratch my head cleverly for a few minutes trying to figure out how to get into my office.,0,1,0,0,0
eng_train_track_b_00201,"Now, I just sit there and nod my head, as I listen to the excuses people use to not make positive changes in their life.",0,0,0,0,0
eng_train_track_b_00202,"Not moving, not menacing.",0,1,0,0,0
eng_train_track_b_00203,The first thought that came into my head was that I needed to go to work as soon as possible.,0,1,0,0,0
eng_train_track_b_00204,A rather regular occurrence happened at night upstairs.,0,1,0,0,0
eng_train_track_b_00205,Spirit-search my heart,0,0,0,0,0
eng_train_track_b_00206,"i play it over and over in my head, word for word.",0,1,0,1,0
eng_train_track_b_00207,"So many things were going on in my life, in my head and in my heart that I just couldn't write any of them down.",0,1,0,2,0
eng_train_track_b_00208,It felt so real that I actually woke up.,0,2,0,0,2
eng_train_track_b_00209,My ex-boyfriend was just a horrible liar.,3,0,0,1,0
eng_train_track_b_00210,The police were trying to calm him down.,0,1,0,0,0
eng_train_track_b_00211,My brain stops and then I feel like conking out.,0,2,0,1,0
eng_train_track_b_00212,Your son is not liking the strap around my belly. '',0,1,0,0,0
eng_train_track_b_00213,At one point it even came up to my foot to nibble on the grass near my toes.,0,0,1,0,0
eng_train_track_b_00214,But it was good; it kept me on my feet for a long while.Knee?,0,0,1,0,0
eng_train_track_b_00215,"I pull the trigger, feel the recoil in my hand along with the professionally, almost muted sound and watch him shudder and then go limp against me.",2,2,0,1,0
eng_train_track_b_00216,"Well I make it about 2 miles from my apartment when I notice a small drop on my arm and then another, I say uh oh I better get back then it starts to rain a little, then harder and harder, to the point that im soaked, even my shoes are filled with water.",0,2,0,1,0
eng_train_track_b_00217,"Last night I walked into my room ( without turning on the light switch ) and tripped over a laundry basket, and fell on my face.",0,2,0,2,1
eng_train_track_b_00218,I was completely dumbstruck.,0,0,0,0,3
eng_train_track_b_00219,"As I was placing them in the `` to be thrown out '' pile, something caught my eye and made me look closer.",0,0,0,0,1
eng_train_track_b_00220,"As I frantically grabbed at it to pull it up, I dropped EVERY SiNGLE THING in my hands.",2,2,0,0,1
eng_train_track_b_00221,"We always just thought she was scared of the dark, just like most kids are.",0,1,0,0,0
eng_train_track_b_00222,"She claimed I beat her, raped her, tortured, and abused her.",3,3,0,3,2
eng_train_track_b_00223,I had a lump in my throat several times.,0,1,0,2,0
eng_train_track_b_00224,I know last time I did this I hurt my back a little but I never learn I'm hard headed I wanted to burn up some more calories.,0,1,0,0,0
eng_train_track_b_00225,"It started out slow, like we'd fight once a month over stupid little things and sometimes big things.",1,1,0,2,0
eng_train_track_b_00226,I fell asleep with visions of 5 grand dancing in my head.,0,0,2,0,0
eng_train_track_b_00227,I will defend this to the grave.,2,0,0,0,0
eng_train_track_b_00228,Coupled with the sound of rotors deafeningly stunning my ears and the very air in and around the cab of my car.,0,2,0,0,1
eng_train_track_b_00229,Apparently the aftermath of the clogged toilet was pretty gruesome.,0,2,0,0,1
eng_train_track_b_00230,"Staring down at the device, I felt this cold chill start at the base of my neck and spread throughout my body.",0,3,0,0,1
eng_train_track_b_00231,It was funny because I thought I broke my arm.,0,1,1,0,1
eng_train_track_b_00232,"idk why, my eyes just got really watery and i felt really scared and felt so lost all of a sudden: /",0,3,0,2,1
eng_train_track_b_00233,i did nt drink cause my lungs were giving me problems but the rest did.,0,2,0,0,0
eng_train_track_b_00234,My heart melted.,0,0,2,0,0
eng_train_track_b_00235,Weird guy to say the least,0,1,0,0,1
eng_train_track_b_00236,"Even with an armed officer of the law at my back, it was a bit unnerving to open the front door.",0,2,0,0,0
eng_train_track_b_00237,The outer right side was throbbing in pain and shooting up to my ankle.,0,2,0,2,0
eng_train_track_b_00238,My heart starts pounding as my eyes scroll up the dress and it was Scarlett.,0,1,0,0,1
eng_train_track_b_00239,I know that feel.,0,0,1,1,0
eng_train_track_b_00240,I will lose sleep.,0,2,0,1,0
eng_train_track_b_00241,Then we finally saw what was going on.,0,1,1,0,2
eng_train_track_b_00242,"I jumped up frantically ( the receptionist cast an odd glance toward me, and some net users stared ) and looked at my hands.",0,2,0,0,0
eng_train_track_b_00243,"When they are near me I either scream, or my mind goes blank and I saw whatever pops into my head ( no... seriously, it's kind of sad.",0,1,0,2,0
eng_train_track_b_00244,For dessert and coffee we went to another cafe down the street.,0,0,1,0,0
eng_train_track_b_00245,Awkward lunch time... sometimes I think my mouth just kinda glues shut on me.,0,1,0,1,0
eng_train_track_b_00246,"my head looked up automatically, and the first person out of the others out there, i saw him.",0,1,0,0,1
eng_train_track_b_00247,"I played around in the water, haha just my feet in the water though, it was too cold.",0,0,1,0,0
eng_train_track_b_00248,First college room mate ever.,0,0,1,0,1
eng_train_track_b_00249,And I can't breath through my nose.,0,1,0,0,0
eng_train_track_b_00250,"My head poked out of the grass again, catching sight of the men nearing my position, only about fifteen yards.",0,2,0,1,0
eng_train_track_b_00251,It was mutually beneficial.,0,0,1,0,0
eng_train_track_b_00252,Telling me I'm going to hell.,2,2,0,1,0
eng_train_track_b_00253,Only in my foot.,0,0,0,0,0
eng_train_track_b_00254,"I want to learn about you, communicate with you.",0,0,1,0,0
eng_train_track_b_00255,"I'd just started a new character on a different world than I usually play on, then this guy wants to join my party...",0,1,1,0,1
eng_train_track_b_00256,"amused So yeah, I broke my nose playing `` flag '' football yesterday.",0,0,0,1,0
eng_train_track_b_00257,His last days were spent in a cone.,0,0,0,2,0
eng_train_track_b_00258,"I didn't notice either that I was still sitting on the floor, the rug pattern branded on my knees.",0,0,0,1,0
eng_train_track_b_00259,"I'm very very pale, and any bandages like that stick out like a dark brown blemish.",0,1,0,1,0
eng_train_track_b_00260,plus my knees look more hardcore in black and blue.,0,0,1,0,0
eng_train_track_b_00261,"My hands are usually cool, and I defend them, spouting `` Cold hands, warm heart! ''",0,0,1,0,0
eng_train_track_b_00262,"There were dozens of us, crying, screaming, or in shock.",0,3,0,3,1
eng_train_track_b_00263,3.Woke up from a horrible dream of my ex boyfriend with his new girlfriend.,1,2,0,2,0
eng_train_track_b_00264,"My throat is now only a dull ache ( as one nurse said, strep throat is the throat you don't forget, boy was she right! )",0,1,0,1,0
eng_train_track_b_00265,I stopped a couple times to stretch out my calves and quads.,0,0,0,0,0
eng_train_track_b_00266,my stomach is all out of whack.,0,2,0,0,0
eng_train_track_b_00267,"They are so pillowy that when I get in the car, while she cheers at me, she actually lifts her fat pillow, let me sit next to her, and then drops her huge mountain of fat on my thigh.",0,0,0,0,0
eng_train_track_b_00268,"I pulled it up, still heard the gushing sound, so I turned my head, and the other one stopped immediately.",0,1,0,0,0
eng_train_track_b_00269,The house is trashed.,1,1,0,2,0
eng_train_track_b_00270,They immediately started shooting meth and heroin.,1,3,0,2,1
eng_train_track_b_00271,Scary going up but terrifying going down into awful LA traffic.,0,3,0,0,0
eng_train_track_b_00272,"The part my grandfather said was broken and would lead to his doom, was broken.",0,2,0,2,1
eng_train_track_b_00273,"We first met hatred was in my eyes, I Didn't want anything to do with you, lies.",2,1,0,1,0
eng_train_track_b_00274,Most I've met off Craigslist.,0,1,0,0,1
eng_train_track_b_00275,I had been AWAKE.,0,1,0,0,1
eng_train_track_b_00276,We wanted to put off going down route thumper (Never went through without being hit) well we had too anyway.,0,2,0,0,0
eng_train_track_b_00277,"I had an ant crawling on my elbow just now, and I flicked him off.",0,1,0,0,0
eng_train_track_b_00278,"in the back of my head, i was like great.",0,0,0,0,0
